Correct;Wrong;Test image count;Accuracy;Detect Accuracy;FPS;Radius;Neighbours;Scale;Cascade;Single;Dataset
69;181;250;0.2760;0.9990;16.59;1;1;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
109;141;250;0.4360;0.9990;14.54;1;3;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
128;122;250;0.5120;0.9990;13.27;1;5;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
129;121;250;0.5160;0.9990;8.69;1;7;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
129;121;250;0.5160;0.9990;2.65;1;9;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
72;178;250;0.2880;0.9990;15.67;3;1;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
115;135;250;0.4600;0.9990;14.98;3;3;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
127;123;250;0.5080;0.9990;13.52;3;5;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
136;114;250;0.5440;0.9990;9.86;3;7;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
141;109;250;0.5640;0.9990;2.91;3;9;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
77;173;250;0.3080;0.9990;15.61;5;1;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
110;140;250;0.4400;0.9990;14.70;5;3;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
128;122;250;0.5120;0.9990;13.34;5;5;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
135;115;250;0.5400;0.9990;9.50;5;7;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
145;105;250;0.5800;0.9990;2.72;5;9;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
73;177;250;0.2920;0.9990;15.69;7;1;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
115;135;250;0.4600;0.9990;15.05;7;3;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
129;121;250;0.5160;0.9990;13.25;7;5;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
138;112;250;0.5520;0.9990;9.01;7;7;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
146;104;250;0.5840;0.9990;2.63;7;9;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
79;171;250;0.3160;0.9990;15.73;8;1;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
118;132;250;0.4720;0.9990;14.92;8;3;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
135;115;250;0.5400;0.9990;13.50;8;5;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
139;111;250;0.5560;0.9990;8.81;8;7;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
146;104;250;0.5840;0.9990;2.66;8;9;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
69;181;250;0.2760;0.9990;15.67;10;1;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
118;132;250;0.4720;0.9990;14.76;10;3;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
129;121;250;0.5160;0.9990;13.38;10;5;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
136;114;250;0.5440;0.9990;8.26;10;7;1.0;lbpcascades/lbpcascade_frontalface.xml;0;dup1
